가드통과,examId,학교,학년,과목,회차,문항수,총점,객관식,단답형,서술형,배점채움,소단원라벨문항,난이도라벨문항,시리즈,시리즈_대비편수,시리즈_실제기출편수,실제기출없음,원본경로
Y,4209,강동고,고1,공통수학2,2025-2중간,25,100,21,0,4,1,25,25,강동고|고1,1,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[강동고][1][공수2][25-2-중간대비][비상] (완료).PDF
Y,4212,강북고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,강북고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[강북고][1][공수1][25-1-기말고사 대비][비상] (완료).PDF
Y,4213,강북고,고1,공통수학2,2025-2기말,24,100,16,4,4,0,24,24,강북고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[강북고][1][공수2][25-2-기말대비][비상] (완료).PDF
Y,4218,경명여고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,경명여고|고1,2,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[경명여고][1][공수1][25-1-기말고사 대비][신사고] (완료).PDF
Y,4219,경명여고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,경명여고|고1,2,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[경명여고][1][공수2][25-2-기말대비][천재(홍)] (완료).PDF
Y,4224,경북고,고1,공통수학1,2025-1기말,25,100,15,0,10,0,25,25,경북고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[경북고][1][공수1][25-1-기말고사 대비][미래엔] (완료).PDF
Y,4226,경북고,고1,공통수학2,2025-2중간,25,100.7,21,0,4,0,25,25,경북고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[경북고][1][공수2][25-2-중간대비][미래엔](완료).PDF
Y,4225,경북고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,경북고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[경북고][1][공수2][25-2-기말대비][미래엔] (완료).PDF
Y,4229,경북여고,고1,공통수학1,2025-1기말,25,103,20,0,5,0,25,25,경북여고|고1,2,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[경북여고][1][공수1][25-1-기말대비][미래엔] (완료).PDF
Y,4230,경북여고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,경북여고|고1,2,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[경북여고][1][공수2][25-2-중간대비][미래엔] (완료).PDF
Y,4235,경산고,고1,공통수학1,2025-1기말,25,104.7,20,0,5,14,25,25,경산고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[경산고][1][공수1][25-1-기말고사 대비][동아] (완료).PDF
Y,4236,경산고,고1,공통수학2,2025-2중간,24,100,21,3,0,0,24,24,경산고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[경산고][1][공수2][25-2-중간대비][동아] (완료).PDF
Y,4239,경산여고,고1,공통수학2,2025-2중간,25,102,21,0,4,0,25,25,경산여고|고1,1,3,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[경산여고][1][공수2][25-2-중간고사대비][비상] (완료).PDF
Y,2669,경상고,고1,공통수학2,2024-2중간,25,96,18,0,7,0,25,25,경상고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[경상고][1][공수2][24-2-중간대비][와이비엠] (완료).PDF
Y,4245,경상고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,경상고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[경상고][1][공수1][25-1-기말대비][와이비엠] (완료).PDF
Y,4246,경상고,고1,공통수학2,2025-2기말,25,100,20,0,5,0,25,25,경상고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[경상고][1][공수2][25-2-기말대비][와이비엠] (완료).PDF
Y,4249,경상여고,고1,공통수학1,2025-1기말,25,100,16,2,7,0,25,25,경상여고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[경상여고][1][공수1][25-1-기말대비][미래엔] (완료).PDF
Y,4251,경상여고,고1,공통수학2,2025-2중간,25,100,21,1,3,0,25,25,경상여고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[경상여고][1][공수2][25-2-중간대비][교학사] (완료).PDF
Y,4250,경상여고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,경상여고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[경상여고][1][공수2][25-2-기말대비][미래엔] (완료).PDF
Y,4253,경신고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,경신고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[경신고][1][공수1][25-1-기말고사 대비][와이비엠] (완료).PDF
Y,4255,경신고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,경신고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[경신고][1][공수2][25-2-중간대비][와이비엠] (완료).PDF
Y,4254,경신고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,경신고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[경신고][1][공수2][25-2-기말대비][와이비엠] (완료).PDF
