# SVG 검수 판정 집계 — scripts/qa/collect-svg-verdicts.mjs 가 만든다. 손으로 고치지 말 것.
# 판정 원본: C:\Users\user\AppData\Local\Temp\claude\C--Creative-testautocreator\514755a6-ad9e-4e2a-882d-210afa7581c6\scratchpad\codex검수 (세션 임시 폴더 — 지워질 수 있다. 이 파일이 사본이다)
# sheet	judge	pair	verdict	note
0001	agy-o	0139	OK	
0001	agy-o	0458	OK	
0001	agy-o	0565	OK	
0001	agy-o	0862	OK	
0001	agy-o	1390	OK	
0001	agy-o	1524	결함	원뿔 세 토막(A·B·C)의 색칠(채움)이 SVG에서 모두 빠져 있다
0001	codex-1	0139	OK	
0001	codex-1	0458	OK	
0001	codex-1	0565	OK	
0001	codex-1	0862	OK	
0001	codex-1	1390	OK	
0001	codex-1	1524	결함	원뿔의 C 영역 주황색 채움이 빠졌다
0001	codex-2	0139	OK	
0001	codex-2	0458	OK	
0001	codex-2	0565	OK	
0001	codex-2	0862	OK	
0001	codex-2	1390	OK	
0001	codex-2	1524	결함	래스터에는 C 면의 주황색 칠이 있는데 SVG에는 없다
0001	gemini	0139	OK	
0001	gemini	0458	OK	
0001	gemini	0565	OK	
0001	gemini	0862	OK	
0001	gemini	1390	OK	
0001	gemini	1524	결함	원뿔 맨 아래 C 부분의 칠(채움)이 빠졌다
0002	agy-o	0136	OK	
0002	agy-o	0309	OK	
0002	agy-o	0348	OK	
0002	agy-o	1032	OK	
0002	agy-o	1064	OK	
0002	agy-o	1410	결함	전혀 다른 그림이다 — 래스터는 원에 내접하는 삼각형(O, A, B, C, 36°, 14 cm)인데 SVG는 사다리꼴(A, B, C, D, 80°, 70°, x)이다
0002	codex-1	0136	OK	
0002	codex-1	0309	OK	
0002	codex-1	0348	OK	
0002	codex-1	1032	OK	
0002	codex-1	1064	OK	
0002	codex-1	1410	결함	래스터는 원 안에 O·A·B·C, 36°, 14 cm가 있는 그림인데 SVG는 80°·70°·x가 표시된 내접사각형으로 전혀 다르다
0002	codex-2	0136	OK	
0002	codex-2	0309	OK	
0002	codex-2	0348	OK	
0002	codex-2	1032	OK	
0002	codex-2	1064	OK	
0002	codex-2	1410	결함	래스터에는 중심 O, 36°, 호 BC의 14 cm 표시가 있는데 SVG에는 없다
0002	gemini	0136	OK	
0002	gemini	0309	OK	
0002	gemini	0348	OK	
0002	gemini	1032	OK	
0002	gemini	1064	OK	
0002	gemini	1410	결함	전혀 다른 그림이다
0003	antigravity	0282	OK	
0003	antigravity	0328	OK	
0003	antigravity	0566	OK	
0003	antigravity	0877	OK	
0003	antigravity	1121	OK	
0003	antigravity	1407	OK	
0003	codex-1	0282	OK	
0003	codex-1	0328	OK	
0003	codex-1	0566	OK	
0003	codex-1	0877	OK	
0003	codex-1	1121	OK	
0003	codex-1	1407	OK	
0003	gemini	0282	OK	
0003	gemini	0328	OK	
0003	gemini	0566	결함	B가 있는 가운데 고리 영역의 회색 칠(채움)이 빠졌다.
0003	gemini	0877	OK	
0003	gemini	1121	OK	
0003	gemini	1407	OK	
0004	antigravity	0248	OK	
0004	antigravity	0297	OK	
0004	antigravity	0345	OK	
0004	antigravity	0652	OK	
0004	antigravity	0894	OK	
